ensembl_gene_id	hgnc_symbol	gene_biotype	chromosome_name	start_position	end_position	strand	external_gene_name	source	final_gene_name
ENSG00000217801	PTPN11BP	transcribed_unprocessed_pseudogene	1	1063079	1069355	1	PTPN11BP	havana	PTPN11BP
ENSG00000304119		lncRNA	1	1065634	1069347	-1		havana_tagene	NO_NAME_2937
ENSG00000304169		lncRNA	1	1069213	1072933	1		havana_tagene	NO_NAME_2938
ENSG00000237330	RNF223	protein_coding	1	1070967	1074306	-1	RNF223	ensembl_havana	RNF223
ENSG00000131591	C1orf159	protein_coding	1	1081811	1116361	-1	C1orf159	ensembl_havana	C1orf159
ENSG00000285812		lncRNA	1	1097585	1104598	1		havana	NO_NAME_1034
ENSG00000299943		lncRNA	1	1126312	1129023	-1		havana_tagene	NO_NAME_2939
ENSG00000223823	LINC01342	lncRNA	1	1137017	1144056	1	LINC01342	havana	LINC01342
ENSG00000304965		lncRNA	1	1157405	1158254	-1		havana_tagene	NO_NAME_2940
ENSG00000207730	MIR200B	miRNA	1	1167104	1167198	1	MIR200B	mirbase	MIR200B
ENSG00000207607	MIR200A	miRNA	1	1167863	1167952	1	MIR200A	mirbase	MIR200A
ENSG00000198976	MIR429	miRNA	1	1169005	1169087	1	MIR429	mirbase	MIR429
ENSG00000272141		lncRNA	1	1169357	1170343	1		havana	NO_NAME_555
ENSG00000205231	TTLL10-AS1	lncRNA	1	1173056	1179555	-1	TTLL10-AS1	havana	TTLL10-AS1
ENSG00000162571	TTLL10	protein_coding	1	1173880	1197940	1	TTLL10	ensembl_havana	TTLL10
ENSG00000186891	TNFRSF18	protein_coding	1	1203508	1206592	-1	TNFRSF18	ensembl_havana	TNFRSF18
ENSG00000186827	TNFRSF4	protein_coding	1	1211326	1214153	-1	TNFRSF4	ensembl_havana	TNFRSF4
ENSG00000078808	SDF4	protein_coding	1	1216887	1238870	-1	SDF4	ensembl_havana	SDF4
ENSG00000176022	B3GALT6	protein_coding	1	1232237	1235041	1	B3GALT6	ensembl_havana	B3GALT6
ENSG00000184163	C1QTNF12	protein_coding	1	1242446	1246722	-1	C1QTNF12	ensembl_havana	C1QTNF12
ENSG00000260179		lncRNA	1	1249777	1251334	-1		havana	NO_NAME_817
ENSG00000160087	UBE2J2	protein_coding	1	1253907	1274477	-1	UBE2J2	ensembl_havana	UBE2J2
ENSG00000230415	LINC01786	lncRNA	1	1274033	1280420	1	LINC01786	havana	LINC01786
ENSG00000162572	SCNN1D	protein_coding	1	1280436	1292029	1	SCNN1D	ensembl_havana	SCNN1D
ENSG00000131584	ACAP3	protein_coding	1	1292376	1309609	-1	ACAP3	ensembl_havana	ACAP3
ENSG00000278073	MIR6726	miRNA	1	1296110	1296170	-1	MIR6726	mirbase	MIR6726
ENSG00000169972	PUSL1	protein_coding	1	1308567	1311677	1	PUSL1	ensembl_havana	PUSL1
ENSG00000127054	INTS11	protein_coding	1	1311585	1324687	-1	INTS11	ensembl_havana	INTS11
ENSG00000283712	MIR6727	miRNA	1	1312502	1312566	-1	MIR6727	mirbase	MIR6727
ENSG00000240731		lncRNA	1	1317581	1318689	-1		havana	NO_NAME_818
ENSG00000224051	CPTP	protein_coding	1	1324756	1328897	1	CPTP	ensembl_havana	CPTP
ENSG00000169962	TAS1R3	protein_coding	1	1331280	1335314	1	TAS1R3	ensembl_havana	TAS1R3
ENSG00000107404	DVL1	protein_coding	1	1335276	1349945	-1	DVL1	ensembl_havana	DVL1
ENSG00000284372	MIR6808	miRNA	1	1339650	1339708	-1	MIR6808	mirbase	MIR6808
ENSG00000304860		lncRNA	1	1348183	1362350	1		havana_tagene	NO_NAME_2941
ENSG00000162576	MXRA8	protein_coding	1	1352689	1361777	-1	MXRA8	ensembl_havana	MXRA8
ENSG00000175756	AURKAIP1	protein_coding	1	1373729	1375521	-1	AURKAIP1	ensembl_havana	AURKAIP1
ENSG00000223663	NDUFB4P8	processed_pseudogene	1	1378666	1379032	1	NDUFB4P8	havana	NDUFB4P8
ENSG00000221978	CCNL2	protein_coding	1	1385711	1399339	-1	CCNL2	ensembl_havana	CCNL2
ENSG00000224870	MRPL20-AS1	lncRNA	1	1399476	1402054	1	MRPL20-AS1	havana	MRPL20-AS1
ENSG00000242485	MRPL20	protein_coding	1	1401908	1407306	-1	MRPL20	ensembl_havana	MRPL20
ENSG00000264293	RN7SL657P	misc_RNA	1	1405460	1405752	-1	RN7SL657P	ensembl	RN7SL657P
ENSG00000301639		lncRNA	1	1407358	1408306	1		havana_tagene	NO_NAME_2942
ENSG00000272455	MRPL20-DT	lncRNA	1	1409096	1410618	1	MRPL20-DT	havana	MRPL20-DT
ENSG00000235098	ANKRD65	protein_coding	1	1415637	1421769	-1	ANKRD65	ensembl_havana	ANKRD65
ENSG00000225905	ANKRD65-AS1	lncRNA	1	1420245	1423287	1	ANKRD65-AS1	havana	ANKRD65-AS1
ENSG00000205116	TMEM88B	protein_coding	1	1425871	1430255	1	TMEM88B	ensembl_havana	TMEM88B
ENSG00000225285	LINC01770	lncRNA	1	1429194	1435625	-1	LINC01770	havana	LINC01770
ENSG00000179403	VWA1	protein_coding	1	1434861	1442882	1	VWA1	ensembl_havana	VWA1
ENSG00000215915	ATAD3C	protein_coding	1	1449689	1470163	1	ATAD3C	ensembl_havana	ATAD3C
ENSG00000160072	ATAD3B	protein_coding	1	1471756	1497848	1	ATAD3B	ensembl_havana	ATAD3B
ENSG00000290916		lncRNA	1	1503224	1509526	1		havana	NO_NAME_1309
ENSG00000284740		transcribed_unprocessed_pseudogene	1	1503582	1509351	1		havana	NO_NAME_928
ENSG00000197785	ATAD3A	protein_coding	1	1512147	1534686	1	ATAD3A	ensembl_havana	ATAD3A
ENSG00000205090	TMEM240	protein_coding	1	1534778	1540624	-1	TMEM240	ensembl_havana	TMEM240
ENSG00000299413		lncRNA	1	1539564	1592377	1		havana_tagene	NO_NAME_1616
ENSG00000160075	SSU72	protein_coding	1	1541673	1574884	-1	SSU72	ensembl_havana	SSU72
ENSG00000215014	SSU72-AS1	lncRNA	1	1574102	1577075	1	SSU72-AS1	havana	SSU72-AS1
ENSG00000274481		processed_pseudogene	1	1583510	1583909	-1		havana	NO_NAME_447
ENSG00000228594	FNDC10	protein_coding	1	1598012	1600135	-1	FNDC10	ensembl_havana	FNDC10
ENSG00000286989		lncRNA	1	1600182	1607327	1		havana_tagene	NO_NAME_2370
ENSG00000272106		lncRNA	1	1613758	1615795	-1		havana	NO_NAME_448
ENSG00000197530	MIB2	protein_coding	1	1615434	1630610	1	MIB2	ensembl_havana	MIB2
ENSG00000189409	MMP23B	protein_coding	1	1631665	1635263	1	MMP23B	ensembl_havana	MMP23B
ENSG00000248333	CDK11B	protein_coding	1	1635225	1659234	-1	CDK11B	ensembl_havana	CDK11B
ENSG00000272004		lncRNA	1	1659027	1662939	1		havana	NO_NAME_2578
ENSG00000189339	SLC35E2B	protein_coding	1	1659529	1693017	-1	SLC35E2B	ensembl_havana	SLC35E2B
ENSG00000293187		lncRNA	1	1671990	1673411	1		havana	NO_NAME_1000
ENSG00000269737		transcribed_processed_pseudogene	1	1673275	1674397	1		havana	NO_NAME_999
ENSG00000310190		lncRNA	1	1692528	1701814	1		havana_tagene	NO_NAME_2759
ENSG00000310238		lncRNA	1	1698620	1700731	-1		havana_tagene	NO_NAME_2581
ENSG00000215914	MMP23A	transcribed_unprocessed_pseudogene	1	1699942	1701782	1	MMP23A	havana	MMP23A
ENSG00000008128	CDK11A	protein_coding	1	1702379	1724482	-1	CDK11A	ensembl_havana	CDK11A
ENSG00000268575		lncRNA	1	1702736	1737688	-1		havana	NO_NAME_449
ENSG00000293188		lncRNA	1	1724194	1736519	1		havana	NO_NAME_2575
ENSG00000290854		lncRNA	1	1724838	1745992	-1		ensembl_havana	NO_NAME_2573
ENSG00000215790	SLC35E2A	transcribed_unprocessed_pseudogene	1	1734690	1739557	-1	SLC35E2A	ensembl_havana	SLC35E2A
ENSG00000227775		transcribed_processed_pseudogene	1	1735817	1737251	1		havana	NO_NAME_1001
ENSG00000008130	NADK	protein_coding	1	1751232	1780544	-1	NADK	ensembl_havana	NADK
ENSG00000302550		lncRNA	1	1783129	1796057	1		havana_tagene	NO_NAME_1870
ENSG00000078369	GNB1	protein_coding	1	1785285	1892292	-1	GNB1	ensembl_havana	GNB1
ENSG00000231050	GNB1-DT	lncRNA	1	1891175	1892835	1	GNB1-DT	havana	GNB1-DT
ENSG00000303984		lncRNA	1	1891400	1891754	-1		havana_tagene	NO_NAME_1993
ENSG00000294910		lncRNA	1	1906002	1909117	-1		havana_tagene	NO_NAME_1228
ENSG00000306476		lncRNA	1	1909317	1910418	1		havana_tagene	NO_NAME_2224
ENSG00000169885	CALML6	protein_coding	1	1915108	1917296	1	CALML6	ensembl_havana	CALML6
ENSG00000178821	TMEM52	protein_coding	1	1917589	1919329	-1	TMEM52	ensembl_havana	TMEM52
ENSG00000142609	CFAP74	protein_coding	1	1921951	2003837	-1	CFAP74	ensembl_havana	CFAP74
ENSG00000233542		lncRNA	1	2013198	2019198	-1		havana	NO_NAME_1540
ENSG00000187730	GABRD	protein_coding	1	2019329	2030758	1	GABRD	ensembl_havana	GABRD
ENSG00000304958		lncRNA	1	2033503	2047450	-1		havana_tagene	NO_NAME_2062
ENSG00000226969	PRKCZ-DT	lncRNA	1	2049202	2050176	-1	PRKCZ-DT	havana	PRKCZ-DT
ENSG00000067606	PRKCZ	protein_coding	1	2050411	2185395	1	PRKCZ	ensembl_havana	PRKCZ
ENSG00000308181		lncRNA	1	2103345	2104917	-1		havana_tagene	NO_NAME_2412
ENSG00000271806		lncRNA	1	2141084	2145279	-1		havana	NO_NAME_899
ENSG00000182873	PRKCZ-AS1	lncRNA	1	2181794	2184389	-1	PRKCZ-AS1	havana	PRKCZ-AS1
ENSG00000162585	FAAP20	protein_coding	1	2184461	2212720	-1	FAAP20	ensembl_havana	FAAP20
ENSG00000304038		lncRNA	1	2207046	2208854	1		havana_tagene	NO_NAME_2002
ENSG00000234396		lncRNA	1	2212523	2220738	1		havana	NO_NAME_900
ENSG00000304143		lncRNA	1	2212965	2214206	-1		havana_tagene	NO_NAME_2009
ENSG00000157933	SKI	protein_coding	1	2227388	2310213	1	SKI	ensembl_havana	SKI
ENSG00000295493		lncRNA	1	2300846	2301069	-1		havana_tagene	NO_NAME_1278
ENSG00000287356		lncRNA	1	2314917	2323085	1		havana	NO_NAME_2108
ENSG00000116151	MORN1	protein_coding	1	2319208	2391707	-1	MORN1	ensembl_havana	MORN1
ENSG00000272161		lncRNA	1	2326201	2326693	-1		havana	NO_NAME_901
ENSG00000292993		lncRNA	1	2350414	2352820	-1		havana	NO_NAME_995
ENSG00000269896		transcribed_processed_pseudogene	1	2351644	2351857	-1		havana	NO_NAME_994
ENSG00000272420		lncRNA	1	2363061	2363628	-1		havana	NO_NAME_76
ENSG00000295371		lncRNA	1	2385375	2388508	1		havana_tagene	NO_NAME_1271
ENSG00000157916	RER1	protein_coding	1	2390670	2405444	1	RER1	ensembl_havana	RER1
ENSG00000157911	PEX10	protein_coding	1	2403964	2413797	-1	PEX10	ensembl_havana	PEX10
ENSG00000149527	PLCH2	protein_coding	1	2425980	2505532	1	PLCH2	ensembl_havana	PLCH2
ENSG00000224387		lncRNA	1	2492300	2493258	-1		havana	NO_NAME_58
ENSG00000229393		lncRNA	1	2493437	2494479	-1		havana	NO_NAME_61
ENSG00000157881	PANK4	protein_coding	1	2508534	2526612	-1	PANK4	ensembl_havana	PANK4
ENSG00000197921	HES5	protein_coding	1	2528745	2530263	-1	HES5	ensembl_havana	HES5
ENSG00000272449		lncRNA	1	2530064	2547878	1		havana	NO_NAME_2387
ENSG00000238164	TNFRSF14-AS1	lncRNA	1	2540861	2557059	-1	TNFRSF14-AS1	havana	TNFRSF14-AS1
ENSG00000307979		lncRNA	1	2550557	2552503	1		havana_tagene	NO_NAME_2383
ENSG00000157873	TNFRSF14	protein_coding	1	2554244	2565382	1	TNFRSF14	ensembl_havana	TNFRSF14
ENSG00000225931		TEC	1	2566410	2569888	1		havana	NO_NAME_60
ENSG00000307958		lncRNA	1	2576210	2580567	-1		havana_tagene	NO_NAME_2382
ENSG00000228037		lncRNA	1	2577043	2584553	1		havana	NO_NAME_2381
ENSG00000289610		lncRNA	1	2585590	2586283	1		havana_tagene	NO_NAME_2584
ENSG00000157870	PRXL2B	protein_coding	1	2586491	2591470	1	PRXL2B	ensembl_havana	PRXL2B
ENSG00000142606	MMEL1	protein_coding	1	2590639	2633016	-1	MMEL1	ensembl_havana	MMEL1
ENSG00000237058	MMEL1-AS1	lncRNA	1	2628688	2636624	1	MMEL1-AS1	havana	MMEL1-AS1
ENSG00000215912	TTC34	protein_coding	1	2636986	2801693	-1	TTC34	ensembl_havana	TTC34
ENSG00000285945		lncRNA	1	2768091	2784733	1		havana	NO_NAME_69
ENSG00000283259		lncRNA	1	2773603	2776473	1		havana	NO_NAME_75
ENSG00000233234		lncRNA	1	2811850	2812692	-1		havana	NO_NAME_74
ENSG00000287396		lncRNA	1	2814020	2817789	1		havana_tagene	NO_NAME_1760
ENSG00000231630		lncRNA	1	2814432	2814998	-1		havana	NO_NAME_82
ENSG00000302855		lncRNA	1	2822159	2823360	1		havana_tagene	NO_NAME_1895
ENSG00000295089		lncRNA	1	2855194	2855996	-1		havana_tagene	NO_NAME_1244
ENSG00000300015		lncRNA	1	2873653	2875675	-1		havana_tagene	NO_NAME_1656
ENSG00000284745		lncRNA	1	2960355	2968707	-1		havana	NO_NAME_1198
ENSG00000169717	ACTRT2	protein_coding	1	3021467	3022903	1	ACTRT2	ensembl_havana	ACTRT2
ENSG00000177133	PRDM16-DT	lncRNA	1	3059564	3070251	-1	PRDM16-DT	ensembl_havana	PRDM16-DT
ENSG00000142611	PRDM16	protein_coding	1	3069168	3438621	1	PRDM16	ensembl_havana	PRDM16
ENSG00000283572	MIR4251	miRNA	1	3127975	3128035	1	MIR4251	mirbase	MIR4251
ENSG00000226286		lncRNA	1	3132927	3133709	-1		havana	NO_NAME_634
ENSG00000306427		lncRNA	1	3161276	3167152	-1		havana_tagene	NO_NAME_2214
ENSG00000279839		TEC	1	3205988	3208664	1		havana	NO_NAME_635
ENSG00000306439		lncRNA	1	3211011	3213146	-1		havana_tagene	NO_NAME_2216
ENSG00000272235		lncRNA	1	3306636	3310096	-1		havana	NO_NAME_56
ENSG00000287828		lncRNA	1	3312741	3323149	-1		havana_tagene	NO_NAME_2218
ENSG00000286518		lncRNA	1	3367815	3373928	-1		havana_tagene	NO_NAME_788
ENSG00000295754		lncRNA	1	3439154	3441727	-1		havana_tagene	NO_NAME_1295
ENSG00000297626		lncRNA	1	3453403	3454339	-1		havana_tagene	NO_NAME_1461
ENSG00000130762	ARHGEF16	protein_coding	1	3454550	3481127	1	ARHGEF16	ensembl_havana	ARHGEF16
ENSG00000272088		lncRNA	1	3487246	3487627	1		havana	NO_NAME_789
ENSG00000162591	MEGF6	protein_coding	1	3487942	3611543	-1	MEGF6	ensembl_havana	MEGF6
ENSG00000207776	MIR551A	miRNA	1	3560695	3560790	-1	MIR551A	mirbase	MIR551A
ENSG00000309127		lncRNA	1	3619643	3622906	1		havana_tagene	NO_NAME_2512
ENSG00000238260		lncRNA	1	3620739	3624787	-1		havana	NO_NAME_2510
ENSG00000158109	TPRG1L	protein_coding	1	3624979	3630131	1	TPRG1L	ensembl_havana	TPRG1L
ENSG00000116213	WRAP73	protein_coding	1	3630767	3652761	-1	WRAP73	ensembl_havana	WRAP73
ENSG00000078900	TP73	protein_coding	1	3652516	3736201	1	TP73	ensembl_havana	TP73
ENSG00000227589	TP73-AS3	lncRNA	1	3658938	3668772	-1	TP73-AS3	havana	TP73-AS3
ENSG00000235131	TP73-AS2	lncRNA	1	3712200	3714298	-1	TP73-AS2	havana	TP73-AS2
ENSG00000293478	GFOD3P	lncRNA	1	3735511	3747373	-1	GFOD3P	havana	GFOD3P_1
ENSG00000276189		misc_RNA	1	3736943	3737103	1		ensembl	NO_NAME_790
ENSG00000227372	GFOD3P	transcribed_unitary_pseudogene	1	3738434	3746742	-1	GFOD3P	havana	GFOD3P
ENSG00000162592	CCDC27	protein_coding	1	3746460	3771645	1	CCDC27	ensembl_havana	CCDC27
ENSG00000296834		lncRNA	1	3750341	3752342	-1		havana_tagene	NO_NAME_1374
ENSG00000235169	SMIM1	protein_coding	1	3772655	3776709	1	SMIM1	ensembl_havana	SMIM1
ENSG00000130764	LRRC47	protein_coding	1	3778559	3796511	-1	LRRC47	ensembl_havana	LRRC47
ENSG00000266075	RN7SL574P	misc_RNA	1	3782815	3783111	1	RN7SL574P	ensembl	RN7SL574P
ENSG00000272153		lncRNA	1	3785008	3785538	1		havana	NO_NAME_409
ENSG00000116198	CEP104	protein_coding	1	3812086	3857723	-1	CEP104	ensembl_havana	CEP104
ENSG00000169598	DFFB	protein_coding	1	3857267	3885429	1	DFFB	ensembl_havana	DFFB
ENSG00000198912	C1orf174	protein_coding	1	3889125	3900293	-1	C1orf174	ensembl_havana	C1orf174
ENSG00000236423	LINC01134	lncRNA	1	3900187	3917547	1	LINC01134	havana	LINC01134
ENSG00000233304	LINC01346	lncRNA	1	3940486	3955262	1	LINC01346	havana	LINC01346
ENSG00000226374	LINC01345	lncRNA	1	3944547	3949024	-1	LINC01345	havana	LINC01345
ENSG00000284668	LINC02780	lncRNA	1	3976133	4093062	1	LINC02780	havana	LINC02780
ENSG00000284703		lncRNA	1	4012921	4019843	-1		havana	NO_NAME_1376
ENSG00000296871		lncRNA	1	4043675	4046929	-1		havana_tagene	NO_NAME_1379
ENSG00000308587		lncRNA	1	4108078	4108993	-1		havana_tagene	NO_NAME_2450
ENSG00000229280	EEF1DP6	processed_pseudogene	1	4175528	4175899	-1	EEF1DP6	havana	EEF1DP6
ENSG00000301255		lncRNA	1	4224706	4228239	-1		havana_tagene	NO_NAME_1763
ENSG00000299169		lncRNA	1	4267345	4269793	-1		havana_tagene	NO_NAME_1585
ENSG00000302287		lncRNA	1	4317882	4319668	-1		havana_tagene	NO_NAME_1849
ENSG00000235054	LINC01777	lncRNA	1	4412027	4424689	1	LINC01777	havana	LINC01777
ENSG00000306535		lncRNA	1	4460526	4463221	-1		havana_tagene	NO_NAME_2230
ENSG00000284694		lncRNA	1	4479131	4484375	-1		havana	NO_NAME_57
ENSG00000299517		lncRNA	1	4495360	4497501	-1		havana_tagene	NO_NAME_1626
ENSG00000227169		lncRNA	1	4551735	4552145	-1		havana	NO_NAME_63
ENSG00000295490		lncRNA	1	4555871	4556410	-1		havana_tagene	NO_NAME_1277
ENSG00000232596	LINC01646	lncRNA	1	4571481	4594016	1	LINC01646	havana	LINC01646
ENSG00000300565		lncRNA	1	4603690	4622259	1		havana_tagene	NO_NAME_1706
ENSG00000303830		lncRNA	1	4627314	4634700	-1		havana_tagene	NO_NAME_1982
